TIME,x,y,CRS
38.5,36.8019056604,-68.2334045354,-146.917193539
38.75,39.4069004779,-67.2690128227,-151.671077395
39.0,41.9189178265,-66.0833407703,-150.954302782
39.25,44.4461734137,-64.9305057543,-159.566389916
39.5,46.76273209,-63.3976635323,-160.207204495
39.75,49.0612745245,-61.8379353324,-166.468890664
40.0,51.1552042056,-60.0379648196,-174.508591377
40.25,52.9670496175,-57.9494020101,-184.960268979
40.5,54.3414277438,-55.5740784226,-196.447568489
40.75,55.1740228194,-53.0248169608,-210.257481702
41.0,55.3441601404,-50.3944200235,-224.673689247
41.25,54.8268528417,-47.8095777785,-237.550663797
41.5,53.7166135169,-45.3992505071,-249.502308539
41.75,52.0967300728,-43.2637522009,-259.755400076
42.0,50.0874839757,-41.4459152524,-269.392094411
42.25,47.7391732635,-39.9729466774,-277.100515372
42.5,45.2028827225,-38.8401273326,-284.936307023
42.75,42.5314425701,-38.0789066746,-288.831840508
43.0,39.8128297963,-37.5086488702,-297.40858864
43.25,37.0386385758,-37.3675373986,-298.16052096
43.5,34.2627774698,-37.2643652791,-307.863362026
43.75,31.5118932416,-37.6499626521,-310.574011002
44.0,28.783345529,-38.170612968,-319.323201474
44.25,26.1717225459,-39.1169082553,-321.116427688
44.5,23.5923352063,-40.1478351835,-329.205501503
44.75,21.191871289,-41.5456271432,-329.950522488
45.0,18.8105612802,-42.975806161,-336.728947166
45.25,16.6231286115,-44.6878773312,-335.492758704
45.5,14.3977709045,-46.3503551365,-342.435420919
45.75,12.399417249,-48.2797674937,-342.239833115
46.0,10.3942149798,-50.2020612367,-347.141819971
46.25,8.56807333139,-52.2952062527,-343.381009452
46.5,6.60318483239,-54.2586885063,-348.312921133
46.75,4.82202257986,-56.3902396805,-343.862101354
47.0,2.8743838553,-58.3708337274,-348.926202703
47.25,1.11709985859,-60.5221129598,-344.23551303
47.5,-0.81704722773,-62.5158843673,-348.762687064
47.75,-2.58071922668,-64.6619296738,-343.763108183
48.0,-4.53191961801,-66.6390150066,-348.472161965
48.25,-6.30690295964,-68.7757142173,-343.048927453
48.5,-8.28361079181,-70.7272970427,-347.70681223
48.75,-10.0881544527,-72.8390904866,-342.5996921
49.0,-12.0807365337,-74.7744628095,-347.367394672
49.25,-13.89827811,-76.8750798611,-342.094866224
49.5,-15.9085401163,-78.7920816978,-346.87117585
49.75,-17.7449595659,-80.8762153256,-342.110749326
50.0,-19.7546678893,-82.7937976129,-346.8850785
50.25,-21.5905604632,-84.8783953767,-341.689092495
50.5,-23.6149107047,-86.7805140588,-346.54546793
50.75,-25.4636400421,-88.8537359995,-341.223125913
51.0,-27.5040324164,-90.7386360844,-345.394538555
51.25,-29.3957380443,-92.7727204468,-339.480217143
51.5,-31.4948270898,-94.5920265119,-343.266017941
